"Phylum"	"Species"	"Habitat"	"AQP1.like"	"AQP3.like"	"AQP8.like"	"AQP11.like"
"Arthropoda"	"EZAR1"	"Terrestrial"	3	5	0	1
"Arthropoda"	"FARI1"	"Terrestrial"	6	0	0	0
"Arthropoda"	"FAUR1"	"Terrestrial"	2	0	0	1
"Arthropoda"	"FCAN1"	"Terrestrial"	13	2	0	3
"Arthropoda"	"FDEP1"	"Terrestrial"	3	2	0	1
"Arthropoda"	"FLAV1"	"Freshwater"	2	0	0	1
"Arthropoda"	"FMAR1"	"Terrestrial"	6	7	0	0
"Arthropoda"	"GALE2"	"Terrestrial"	1	2	0	0
"Arthropoda"	"GBUE1"	"Freshwater"	6	0	0	1
"Arthropoda"	"GFRO1"	"Marine"	2	1	0	1
"Arthropoda"	"GLAT1"	"Terrestrial"	3	0	0	0
"Arthropoda"	"GLOC1"	"Marine"	4	1	0	1
"Arthropoda"	"GLOM1"	"Terrestrial"	4	4	0	1
"Arthropoda"	"GMAR2"	"Marine"	3	0	0	1
"Arthropoda"	"GMIN1"	"Terrestrial"	5	3	0	1
"Arthropoda"	"GOCC1"	"Terrestrial"	2	2	0	1
"Arthropoda"	"GRYL1"	"Terrestrial"	4	0	0	1
"Arthropoda"	"GYMN1"	"Terrestrial"	2	3	0	2
"Arthropoda"	"HANS2"	"Terrestrial"	4	2	0	1
"Arthropoda"	"HAZT1"	"Brackish"	5	1	0	1
"Arthropoda"	"HBRE1"	"Terrestrial"	7	1	0	2
"Arthropoda"	"HEXC1"	"Terrestrial"	1	3	0	1
"Arthropoda"	"HFOR1"	"Terrestrial"	5	0	0	1
"Arthropoda"	"HGAB1"	"Terrestrial"	7	1	0	1
"Arthropoda"	"HGIB1"	"Terrestrial"	2	8	0	0
"Arthropoda"	"HHOL1"	"Terrestrial"	3	4	0	1
"Arthropoda"	"HILL1"	"Terrestrial"	7	1	0	1
"Arthropoda"	"HINC1"	"Freshwater"	4	1	0	2
"Arthropoda"	"HMAC1"	"Marine"	1	1	0	1
"Arthropoda"	"HMUL1"	"Terrestrial"	3	2	0	0
"Arthropoda"	"HNIV1"	"Terrestrial"	9	4	0	1
"Arthropoda"	"HREM1"	"Terrestrial"	2	4	0	1
"Arthropoda"	"HRUF1"	"Terrestrial"	2	6	0	1
"Arthropoda"	"HSUB1"	"Terrestrial"	4	1	0	4
"Arthropoda"	"HTHE1"	"Terrestrial"	4	3	0	1
"Arthropoda"	"HUST1"	"Terrestrial"	3	4	0	1
"Arthropoda"	"HYDR1"	"Terrestrial"	5	0	0	2
"Arthropoda"	"ICRA1"	"Terrestrial"	4	3	0	1
"Arthropoda"	"INOD1"	"Terrestrial"	2	3	0	0
"Arthropoda"	"ISCA1"	"Terrestrial"	2	4	0	2
"Arthropoda"	"ISEN1"	"Freshwater"	10	1	0	1
"Arthropoda"	"KACA1"	"Terrestrial"	3	3	0	0
