"Phylum"	"Species"	"Habitat"	"AQP1-like"	"AQP3-like"	"AQP8-like"	"AQP11-like"
"Arthropoda"	"ASAL1"	"Aquatic"	2	0	0	1
"Arthropoda"	"ASIA1"	"Aquatic"	3	3	0	1
"Arthropoda"	"AVUL2"	"Terrestrial"	3	1	0	1
"Arthropoda"	"BAET1"	"Aquatic"	7	0	0	0
"Arthropoda"	"BATR1"	"Terrestrial"	6	0	0	1
"Arthropoda"	"BCOP1"	"Terrestrial"	6	0	0	2
"Arthropoda"	"BGER4"	"Terrestrial"	5	0	0	1
"Arthropoda"	"BGRA1"	"Terrestrial"	2	3	0	1
"Arthropoda"	"BHYE1"	"Terrestrial"	5	0	0	1
"Arthropoda"	"BLEC1"	"Terrestrial"	2	3	0	1
"Arthropoda"	"BLIN1"	"Aquatic"	2	1	0	1
"Arthropoda"	"BMOR1"	"Terrestrial"	6	0	0	0
"Arthropoda"	"BWIT1"	"Terrestrial"	3	3	0	1
"Arthropoda"	"CANO1"	"Terrestrial"	7	1	0	2
"Arthropoda"	"CBEC1"	"Terrestrial"	1	4	0	1
"Arthropoda"	"CBOL1"	"Aquatic"	4	1	0	1
"Arthropoda"	"CCEL1"	"Terrestrial"	6	3	0	1
"Arthropoda"	"CCFQ1"	"Aquatic"	2	4	0	1
"Arthropoda"	"CCOR1"	"Aquatic"	5	0	0	1
"Arthropoda"	"CDIP1"	"Aquatic"	5	3	0	2
"Arthropoda"	"CFEL1"	"Terrestrial"	8	0	0	1
"Arthropoda"	"CFIN1"	"Aquatic"	6	6	0	4
"Arthropoda"	"CFLA1"	"Terrestrial"	6	1	0	1
"Arthropoda"	"CGAL1"	"Terrestrial"	3	0	0	1
"Arthropoda"	"CGEL1"	"Terrestrial"	6	3	0	2
"Arthropoda"	"CHIS1"	"Aquatic"	2	2	0	0
"Arthropoda"	"CHOR1"	"Terrestrial"	8	1	0	2
"Arthropoda"	"CIOA1"	"Terrestrial"	4	3	0	1
"Arthropoda"	"CISR1"	"Terrestrial"	4	3	0	0
"Arthropoda"	"CJAP1"	"Aquatic"	4	0	0	1
"Arthropoda"	"CLEC1"	"Terrestrial"	6	0	0	1
"Arthropoda"	"CNIP1"	"Terrestrial"	8	0	0	1
"Arthropoda"	"CQUA2"	"Aquatic"	3	1	0	2
"Arthropoda"	"CRAS1"	"Terrestrial"	3	1	0	0
"Arthropoda"	"CROT1"	"Aquatic"	17	7	0	3
"Arthropoda"	"CRYP1"	"Terrestrial"	3	4	0	2
"Arthropoda"	"CSCU1"	"Terrestrial"	4	3	0	0
"Arthropoda"	"CSEC1"	"Terrestrial"	4	0	0	1
"Arthropoda"	"CSEG1"	"Terrestrial"	3	4	0	2
"Arthropoda"	"CSIM1"	"Aquatic"	5	0	0	1
"Arthropoda"	"CTAS1"	"Terrestrial"	7	1	0	1
"Arthropoda"	"CVIR1"	"Terrestrial"	4	0	0	1
"Arthropoda"	"CVUL1"	"Terrestrial"	10	0	0	1
"Arthropoda"	"CYLI1"	"Terrestrial"	2	3	0	1
"Arthropoda"	"DAMO1"	"Terrestrial"	6	3	0	1
"Arthropoda"	"DAMP1"	"Terrestrial"	5	3	0	0
"Arthropoda"	"DAND1"	"Terrestrial"	0	3	0	0
"Arthropoda"	"DGAL1"	"Terrestrial"	1	2	0	1
"Arthropoda"	"DMAG1"	"Aquatic"	4	8	0	1
"Arthropoda"	"DMEL1"	"Terrestrial"	7	0	0	1
"Arthropoda"	"DPLE1"	"Terrestrial"	7	0	0	1
"Arthropoda"	"DPSE1"	"Terrestrial"	7	0	0	2
"Arthropoda"	"DPTE1"	"Terrestrial"	1	5	0	0
"Arthropoda"	"DTIN1"	"Terrestrial"	6	10	0	2
"Arthropoda"	"EAFF1"	"Aquatic"	4	5	0	3
"Arthropoda"	"EBRI1"	"Terrestrial"	6	1	0	1
"Arthropoda"	"EHIA1"	"Aquatic"	6	0	0	1
"Arthropoda"	"ELEO1"	"Terrestrial"	4	4	0	1
"Arthropoda"	"ENOR1"	"Aquatic"	2	3	0	1
"Arthropoda"	"EOCY1"	"Aquatic"	3	4	0	1
"Arthropoda"	"ESER1"	"Aquatic"	3	5	0	4
"Arthropoda"	"ETAI1"	"Terrestrial"	3	2	0	0
"Arthropoda"	"ETAK1"	"Terrestrial"	2	3	0	1
"Arthropoda"	"ETIC1"	"Aquatic"	3	3	0	1
"Arthropoda"	"EULI1"	"Aquatic"	1	2	0	2
"Arthropoda"	"EZAR1"	"Terrestrial"	3	5	0	1
"Arthropoda"	"FARI1"	"Terrestrial"	6	0	0	0
"Arthropoda"	"FAUR1"	"Terrestrial"	2	0	0	1
"Arthropoda"	"FCAN1"	"Terrestrial"	13	2	0	3
"Arthropoda"	"FDEP1"	"Terrestrial"	3	2	0	1
"Arthropoda"	"FLAV1"	"Aquatic"	2	0	0	1
"Arthropoda"	"FMAR1"	"Terrestrial"	6	7	0	0
"Arthropoda"	"GALE2"	"Terrestrial"	1	2	0	0
"Arthropoda"	"GBUE1"	"Aquatic"	6	0	0	1
"Arthropoda"	"GFRO1"	"Aquatic"	2	1	0	1
"Arthropoda"	"GLAT1"	"Terrestrial"	3	0	0	0
"Arthropoda"	"GLOC1"	"Aquatic"	4	1	0	1
"Arthropoda"	"GLOM1"	"Terrestrial"	4	4	0	1
"Arthropoda"	"GMAR2"	"Aquatic"	3	0	0	1
"Arthropoda"	"GMIN1"	"Terrestrial"	5	3	0	1
"Arthropoda"	"GOCC1"	"Terrestrial"	2	2	0	1
"Arthropoda"	"GRYL1"	"Terrestrial"	4	0	0	1
"Arthropoda"	"GYMN1"	"Terrestrial"	2	3	0	2
"Arthropoda"	"HANS2"	"Terrestrial"	4	2	0	1
"Arthropoda"	"HAZT1"	"Aquatic"	5	1	0	1
"Arthropoda"	"HBRE1"	"Terrestrial"	7	1	0	2
"Arthropoda"	"HEXC1"	"Terrestrial"	1	3	0	1
"Arthropoda"	"HFOR1"	"Terrestrial"	5	0	0	1
"Arthropoda"	"HGAB1"	"Terrestrial"	7	1	0	1
"Arthropoda"	"HGIB1"	"Terrestrial"	2	8	0	0
"Arthropoda"	"HHOL1"	"Terrestrial"	3	4	0	1
"Arthropoda"	"HILL1"	"Terrestrial"	7	1	0	1
"Arthropoda"	"HINC1"	"Aquatic"	4	1	0	2
"Arthropoda"	"HMAC1"	"Aquatic"	1	1	0	1
"Arthropoda"	"HMUL1"	"Terrestrial"	3	2	0	0
"Arthropoda"	"HNIV1"	"Terrestrial"	9	4	0	1
"Arthropoda"	"HREM1"	"Terrestrial"	2	4	0	1
"Arthropoda"	"HRUF1"	"Terrestrial"	2	6	0	1
"Arthropoda"	"HSUB1"	"Aquatic"	4	1	0	4
"Arthropoda"	"HTHE1"	"Terrestrial"	4	3	0	1
"Arthropoda"	"HUST1"	"Terrestrial"	3	4	0	1
"Arthropoda"	"HYDR1"	"Terrestrial"	5	0	0	2
"Arthropoda"	"ICRA1"	"Terrestrial"	4	3	0	1
"Arthropoda"	"INOD1"	"Terrestrial"	2	3	0	0
"Arthropoda"	"ISCA1"	"Terrestrial"	2	4	0	2
"Arthropoda"	"ISEN1"	"Aquatic"	10	1	0	1
"Arthropoda"	"KACA1"	"Terrestrial"	3	3	0	0
"Arthropoda"	"KHIB1"	"Terrestrial"	3	2	0	1
"Arthropoda"	"LCRY1"	"Aquatic"	3	1	0	1
"Arthropoda"	"LCYP1"	"Aquatic"	5	2	0	1
"Arthropoda"	"LDEL1"	"Terrestrial"	4	12	0	1
"Arthropoda"	"LDES1"	"Terrestrial"	3	2	0	1
"Arthropoda"	"LEPI1"	"Terrestrial"	5	0	0	2
"Arthropoda"	"LINC1"	"Aquatic"	2	0	0	0
"Arthropoda"	"LIPO1"	"Terrestrial"	6	1	0	0
"Arthropoda"	"LLUC1"	"Terrestrial"	6	0	0	1
"Arthropoda"	"LMIG1"	"Terrestrial"	4	0	0	1
"Arthropoda"	"LPOL1"	"Aquatic"	11	7	0	2
"Arthropoda"	"LTHA1"	"Terrestrial"	3	2	0	1
"Arthropoda"	"LYNC1"	"Aquatic"	1	2	0	1
"Arthropoda"	"MACR1"	"Aquatic"	1	5	0	0
"Arthropoda"	"MAME1"	"Terrestrial"	3	3	0	1
"Arthropoda"	"MENN1"	"Terrestrial"	1	1	0	1
"Arthropoda"	"MFUL1"	"Terrestrial"	2	3	0	0
"Arthropoda"	"MGAL1"	"Terrestrial"	8	0	0	1
"Arthropoda"	"MGER1"	"Terrestrial"	3	3	0	1
"Arthropoda"	"MGIG1"	"Terrestrial"	4	3	0	1
"Arthropoda"	"MGUI1"	"Terrestrial"	7	1	0	1
"Arthropoda"	"MGUT1"	"Terrestrial"	3	3	0	0
"Arthropoda"	"MHRA1"	"Terrestrial"	8	1	0	1
"Arthropoda"	"MLEI1"	"Terrestrial"	4	3	0	1
"Arthropoda"	"MNIP1"	"Aquatic"	2	2	0	1
"Arthropoda"	"MNOR1"	"Aquatic"	3	2	0	2
"Arthropoda"	"MOIN1"	"Aquatic"	3	2	0	0
