"Phylum"	"Species"	"Habitat"	"AQP1-like"	"AQP3-like"	"AQP8-like"	"AQP11-like"
"Arthropoda"	"FAUR1"	"Non-marine"	2	0	0	1
"Arthropoda"	"FCAN1"	"Non-marine"	13	2	0	3
"Arthropoda"	"FDEP1"	"Non-marine"	3	2	0	1
"Arthropoda"	"FLAV1"	"Non-marine"	2	0	0	1
"Arthropoda"	"FMAR1"	"Non-marine"	6	7	0	0
"Arthropoda"	"GALE2"	"Non-marine"	1	2	0	0
"Arthropoda"	"GBUE1"	"Non-marine"	6	0	0	1
"Arthropoda"	"GFRO1"	"Marine"	2	1	0	1
"Arthropoda"	"GLAT1"	"Non-marine"	3	0	0	0
"Arthropoda"	"GLOC1"	"Marine"	4	1	0	1
"Arthropoda"	"GLOM1"	"Non-marine"	4	4	0	1
"Arthropoda"	"GMAR2"	"Marine"	3	0	0	1
"Arthropoda"	"GMIN1"	"Non-marine"	5	3	0	1
"Arthropoda"	"GOCC1"	"Non-marine"	2	2	0	1
"Arthropoda"	"GRYL1"	"Non-marine"	4	0	0	1
"Arthropoda"	"GYMN1"	"Non-marine"	2	3	0	2
"Arthropoda"	"HANS2"	"Non-marine"	4	2	0	1
"Arthropoda"	"HAZT1"	"Non-marine"	5	1	0	1
"Arthropoda"	"HBRE1"	"Non-marine"	7	1	0	2
"Arthropoda"	"HEXC1"	"Non-marine"	1	3	0	1
"Arthropoda"	"HFOR1"	"Non-marine"	5	0	0	1
"Arthropoda"	"HGAB1"	"Non-marine"	7	1	0	1
"Arthropoda"	"HGIB1"	"Non-marine"	2	8	0	0
"Arthropoda"	"HHOL1"	"Non-marine"	3	4	0	1
"Arthropoda"	"HILL1"	"Non-marine"	7	1	0	1
"Arthropoda"	"HINC1"	"Non-marine"	4	1	0	2
"Arthropoda"	"HMAC1"	"Marine"	1	1	0	1
"Arthropoda"	"HMUL1"	"Non-marine"	3	2	0	0
"Arthropoda"	"HNIV1"	"Non-marine"	9	4	0	1
"Arthropoda"	"HREM1"	"Non-marine"	2	4	0	1
"Arthropoda"	"HRUF1"	"Non-marine"	2	6	0	1
"Arthropoda"	"HSUB1"	"Marine"	4	1	0	4
"Arthropoda"	"HTHE1"	"Non-marine"	4	3	0	1
"Arthropoda"	"HUST1"	"Non-marine"	3	4	0	1
"Arthropoda"	"HYDR1"	"Non-marine"	5	0	0	2
"Arthropoda"	"ICRA1"	"Non-marine"	4	3	0	1
"Arthropoda"	"INOD1"	"Non-marine"	2	3	0	0
"Arthropoda"	"ISCA1"	"Non-marine"	2	4	0	2
"Arthropoda"	"ISEN1"	"Non-marine"	10	1	0	1
"Arthropoda"	"KACA1"	"Non-marine"	3	3	0	0
"Arthropoda"	"KHIB1"	"Non-marine"	3	2	0	1
"Arthropoda"	"LCRY1"	"Non-marine"	3	1	0	1
"Arthropoda"	"LCYP1"	"Non-marine"	5	2	0	1
"Arthropoda"	"LDEL1"	"Non-marine"	4	12	0	1
"Arthropoda"	"LDES1"	"Non-marine"	3	2	0	1
"Arthropoda"	"LEPI1"	"Non-marine"	5	0	0	2
"Arthropoda"	"LINC1"	"Marine"	2	0	0	0
"Arthropoda"	"LIPO1"	"Non-marine"	6	1	0	0
"Arthropoda"	"LLUC1"	"Non-marine"	6	0	0	1
"Arthropoda"	"LMIG1"	"Non-marine"	4	0	0	1
"Arthropoda"	"LPOL1"	"Marine"	11	7	0	2
"Arthropoda"	"LTHA1"	"Non-marine"	3	2	0	1
"Arthropoda"	"LYNC1"	"Non-marine"	1	2	0	1
"Arthropoda"	"MACR1"	"Non-marine"	1	5	0	0
"Arthropoda"	"MAME1"	"Non-marine"	3	3	0	1
"Arthropoda"	"MENN1"	"Non-marine"	1	1	0	1
"Arthropoda"	"MFUL1"	"Non-marine"	2	3	0	0
"Arthropoda"	"MGAL1"	"Non-marine"	8	0	0	1
"Arthropoda"	"MGER1"	"Non-marine"	3	3	0	1
"Arthropoda"	"MGIG1"	"Non-marine"	4	3	0	1
"Arthropoda"	"MGUI1"	"Non-marine"	7	1	0	1
"Arthropoda"	"MGUT1"	"Non-marine"	3	3	0	0
"Arthropoda"	"MHRA1"	"Non-marine"	8	1	0	1
"Arthropoda"	"MLEI1"	"Non-marine"	4	3	0	1
"Arthropoda"	"MNIP1"	"Non-marine"	2	2	0	1
"Arthropoda"	"MNOR1"	"Marine"	3	2	0	2
"Arthropoda"	"MOIN1"	"Non-marine"	3	2	0	0
"Arthropoda"	"MWIL1"	"Non-marine"	4	5	0	1
"Arthropoda"	"NADI1"	"Non-marine"	8	1	0	1
"Arthropoda"	"NARA1"	"Non-marine"	3	4	0	1
"Arthropoda"	"NBIP1"	"Marine"	2	1	0	1
"Arthropoda"	"NDEG1"	"Non-marine"	3	0	0	1
"Arthropoda"	"NDUB1"	"Non-marine"	4	5	0	1
"Arthropoda"	"NELO1"	"Non-marine"	6	0	0	1
"Arthropoda"	"NFUL1"	"Non-marine"	5	0	0	1
"Arthropoda"	"NGRA1"	"Non-marine"	7	1	0	1
"Arthropoda"	"NICO1"	"Non-marine"	5	4	0	0
"Arthropoda"	"NLUG1"	"Non-marine"	7	0	0	1
"Arthropoda"	"NMOL1"	"Marine"	2	4	0	1
"Arthropoda"	"NOVA1"	"Non-marine"	3	2	0	1
"Arthropoda"	"NPAL1"	"Non-marine"	2	10	0	0
"Arthropoda"	"NVIT1"	"Non-marine"	2	0	0	0
"Arthropoda"	"NYGR1"	"Marine"	2	1	0	1
"Arthropoda"	"OCHY1"	"Non-marine"	4	3	0	0
"Arthropoda"	"OCIN1"	"Non-marine"	8	1	0	2
"Arthropoda"	"OECO1"	"Non-marine"	3	3	0	2
"Arthropoda"	"OJAP1"	"Non-marine"	5	3	0	1
"Arthropoda"	"OPIL1"	"Non-marine"	2	6	0	1
"Arthropoda"	"OPOP1"	"Non-marine"	4	2	0	0
"Arthropoda"	"OPSP1"	"Non-marine"	0	3	0	0
"Arthropoda"	"ORAT1"	"Marine"	2	1	0	1
"Arthropoda"	"OROS1"	"Non-marine"	3	4	0	0
"Arthropoda"	"ORSO1"	"Non-marine"	5	3	0	1
"Arthropoda"	"ORUB1"	"Marine"	4	4	0	1
"Arthropoda"	"OTAU1"	"Non-marine"	10	0	0	1
"Arthropoda"	"PALB1"	"Non-marine"	4	4	0	1
"Arthropoda"	"PAME3"	"Non-marine"	5	0	0	1
"Arthropoda"	"PAPA1"	"Non-marine"	3	3	0	1
"Arthropoda"	"PAPE1"	"Non-marine"	3	3	0	2
"Arthropoda"	"PAPL1"	"Non-marine"	4	1	0	1
"Arthropoda"	"PARA1"	"Marine"	3	4	0	1
"Arthropoda"	"PBAE1"	"Non-marine"	4	3	0	0
"Arthropoda"	"PCIT1"	"Non-marine"	1	5	0	1
"Arthropoda"	"PCOM1"	"Non-marine"	3	3	0	1
"Arthropoda"	"PELL1"	"Non-marine"	3	5	0	1
"Arthropoda"	"PEUR1"	"Non-marine"	9	0	0	1
"Arthropoda"	"PFEM1"	"Marine"	2	2	0	1
"Arthropoda"	"PFLA1"	"Marine"	2	2	0	0
"Arthropoda"	"PGER1"	"Non-marine"	3	1	0	1
"Arthropoda"	"PHUM1"	"Non-marine"	4	1	0	1
"Arthropoda"	"PHUX1"	"Non-marine"	2	1	0	1
"Arthropoda"	"PIMP1"	"Non-marine"	2	3	0	1
"Arthropoda"	"PJAL1"	"Marine"	2	1	0	2
"Arthropoda"	"PLAG1"	"Non-marine"	3	5	0	0
"Arthropoda"	"PLIT1"	"Marine"	1	2	0	1
"Arthropoda"	"PLON1"	"Non-marine"	5	4	0	1
"Arthropoda"	"PMAN1"	"Non-marine"	3	2	0	1
"Arthropoda"	"PMAR1"	"Non-marine"	4	2	0	0
"Arthropoda"	"PMON2"	"Marine"	0	1	0	1
"Arthropoda"	"POGO1"	"Non-marine"	7	1	0	1
"Arthropoda"	"POPI1"	"Non-marine"	3	3	0	1
"Arthropoda"	"POTW1"	"Non-marine"	1	1	0	1
"Arthropoda"	"PPEL1"	"Non-marine"	1	10	0	1
"Arthropoda"	"PPOL2"	"Marine"	3	2	0	1
"Arthropoda"	"PPYR3"	"Non-marine"	7	0	0	1
"Arthropoda"	"PROT2"	"Non-marine"	3	4	0	1
"Arthropoda"	"PSCH1"	"Non-marine"	3	1	0	1
"Arthropoda"	"PSEU1"	"Non-marine"	3	3	0	1
"Arthropoda"	"PSIM1"	"Non-marine"	9	0	0	1
"Arthropoda"	"PSIN1"	"Non-marine"	2	3	0	0
"Arthropoda"	"PSSP1"	"Non-marine"	3	7	0	1
"Arthropoda"	"PSUB1"	"Non-marine"	4	3	0	1
"Arthropoda"	"PTEP1"	"Non-marine"	5	5	0	1
"Arthropoda"	"PURU1"	"Non-marine"	3	2	0	1
"Arthropoda"	"PVAL1"	"Non-marine"	4	2	0	2
"Arthropoda"	"PVAN1"	"Marine"	7	2	0	1
"Arthropoda"	"RATE1"	"Non-marine"	2	4	0	0
"Arthropoda"	"RLON1"	"Non-marine"	6	1	0	1
"Arthropoda"	"RMIN1"	"Non-marine"	3	3	0	1
"Arthropoda"	"RPRO1"	"Non-marine"	4	0	0	0
"Arthropoda"	"RROB1"	"Non-marine"	1	8	0	1
"Arthropoda"	"RSAN1"	"Non-marine"	3	6	0	1
"Arthropoda"	"SACU1"	"Non-marine"	9	1	0	1
"Arthropoda"	"SAPI1"	"Non-marine"	1	4	0	2
"Arthropoda"	"SBAH1"	"Non-marine"	8	2	0	1
"Arthropoda"	"SBOY1"	"Non-marine"	1	3	0	1
"Arthropoda"	"SCAP1"	"Non-marine"	3	4	0	1
"Arthropoda"	"SCAR1"	"Non-marine"	4	2	0	1
"Arthropoda"	"SCHE1"	"Marine"	2	3	0	1
"Arthropoda"	"SCIN1"	"Non-marine"	13	1	0	1
"Arthropoda"	"SCOL3"	"Non-marine"	7	0	0	1
