"","Non-terrestrial","Terrestrial","P.val"
"AQP1",3.62624117401544,3.71778582047413,0.805601880928892
"AQP3",2.83715653603955,2.63006350938166,0.482784163583602
"AQP11",1.251998747884,0.843935729611876,3.57990082984706e-05
"AllAQP",7.69198431446593,7.2088551894149,0.280912049572009
