"","Non-Terrestrial","Terrestrial","P.val"
"AQP1",5.70113871191997,7.07125606069922,0.334797019298695
"AQP3",2.68972808611139,2.27021198402044,0.531972100817895
"AQP8",1.40015509598425,1.49847242900698,0.836497895199513
"AQP11",1.62498355393042,1.41287972943154,0.575170110917933
"AllAQP",11.4148899244755,12.4150391832935,0.60592170287064
