"","Marine","Non-marine","P.val"
"AQP1",3.81524172521513,3.62960718341048,0.329135572391847
"AQP3",2.57491916795667,2.7581701509269,0.21909406540574
"AQP11",1.06186459005018,0.987861509702189,0.117867944776866
"AllAQP",7.5312461612331,7.34457230746861,0.409129066109168
